project_name,location_identifier,indigo_name,original_language_name,english_translated_name,alternative_name,countries_iso,project_url,is_sib,is_dib,variant_name,naming_error_assumed,is_historic,is_active,is_proof_of_concept,stage_of_development,contract_signature_date,expected_completion_date,completion_date_actual,service_provision_started,service_provision_end_expected,service_provision_end_actual,notes_about_dates,project_finance_currency_iso,staticfx_210525,fx_pair,total_investment_committed_exact_usd,total_investment_committed_exact,total_investment_committed_usd,investment_commitment_max_value,investment_commitment_min_value,project_finance_notes,social_challenge_category,intervention_description,intervention_policy_sector,target_population_description,target_pop_unique_value,target_pop_type,beneficiaries_actual_value,beneficiaries_actual_type,beneficiaries_notes,value_notes
Mental Health and Employment Social Impact Bond (Haringey & Barnet),,Mental Health and Employment Social Impact Bond (Haringey & Barnet),,,MHEP Haringey and Barnet,GB,,False,False,Employment Impact Bond,False,False,False,False,Complete,2019-08,,2023-04,2019-04,2023-04,,,GBP,1.34,GBPUSD,304180,227000,304180,,,,"Employment, mental health","Individual Placement Support employment services. A tailored, client-centred employment intervention for people with chronic health conditions. It involves the integration of vocational advisers within health teams to optimise return-to-work.",Employment and training,Individuals with enduring and severe mental health issues,,Individual,985,,,
Forward Outcomes Partnerships,,Forward Outcomes Partnerships,,,Midlands Regional Pause Hub,GB,,False,False, Outcomes Partnership,False,False,False,False,Implementation,,2026-09,,2020-02,2026-09,,,GBP,1.34,GBPUSD,,,,1787523,1126557.87,,Children at risk of going in to care,"Support women that have had, or are at risk of having, multiple children removed from their care",Child and family welfare,"Women who have experienced, or are at risk of experiencing, at least two episodes of care proceedings leading to the removal of one or more of their children into care",,Individual,,,,
Stronger Families Norfolk,,Stronger Families Norfolk,,,,GB,,False,False,,False,False,False,False,Implementation,2019-01,2029-02,,2019-02,,,,GBP,1.34,GBPUSD,2814000,2100000,2814000,,,Note on max potential outcome payment: 'Stronger Families Norfolk' does not have a cap in the number of outcomes that can be achieved and claimed for. We are sharing this figure as the funding coming from central government (DCMS) does have a limit. ,Children on the edge of care or in care,"The intervention used is Family Functional Therapy – Child Welfare. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility.",Child and family welfare,Children and young people (C&YP) aged 6-15. There will be two target cohorts: Edge of Care cohort and In Care (reunifications),,Other,404,,,
Opening Doors,,Opening Doors,,,The Bexley SIB,GB,,False,False,,False,False,False,False,Complete,2020-01,2024-09,,2019-11,2024-10,2021-06,,GBP,1.34,GBPUSD,629800,470000,629800,,,,Homelessness,"This proposal aims to reduce the numbers of single adults and childless couples at risk of homelessness living in temporary accommodation (TA), through delivery of individual support plans that will address an individual's barriers to sustained housing",Homelessness,Single adults and childless couples at risk of homelessness living in temporary accommodation (TA),,Individual,31,Individual,,This project withdrew from the Life Chances Fund programme in June 2021. 
Reducing the prevalence of mothers experiencing recurrent care proceedings,,Reducing the prevalence of mothers experiencing recurrent care proceedings,,,Pause,GB,,False,False,,False,False,False,False,Complete,2019-02,2024-09,,2019-04,2023-09,,,GBP,1.34,GBPUSD,966140,721000,966140,,,,Children on the edge of care or in care,"Pause is an intensive, relationship-based support programme, delivered over 18 months.  The trauma informed support offered is practical (e.g. support accessing and engaging with benefit entitlement, debt advice, stable housing, primary care services – GP, dental, sexual health, etc), behavioural (e.g. development of behavioural regulation techniques, healthy relationships) and therapeutic (e.g. recovery from loss and trauma)",Child and family welfare,The target population is women of child bearing age who have experienced (or are at high risk of experiencing) a cycle of recurrent care proceedings leading to removal of their children into local authority care.,,Individual,49,,,
Promoting Independence,,Promoting Independence,,,Mental Health Accommodation,GB,,False,False,,False,False,False,False,Implementation,2019-07,2026-03,,2019-11,2026-03,,,GBP,1.34,GBPUSD,1072000,800000,1072000,,,,"Mental health, independent living",Individual support to assist adults with mental health issues to live independently in the community,Homelessness,Adults within Sheffield who have mental health issues and are currently living in 24/7 residential care.,,Individual,116,,,
Single Homeless Prevention Service (SHPS),,Single Homeless Prevention Service (SHPS),,,Pan London ,GB,,False,False,,False,False,False,False,Implementation,2019-09,2025-03,,2019-07,2025-03,,,GBP,1.34,GBPUSD,,,,2357570,841164.7263,,Homelessness,"Following the introduction of the Homelessness Reduction Act, Local Authorities now have a duty to support single people who are homeless or a risk of becoming homeless within 56 days. The Single Homeless Prevention Serivce (SHPS) was designed and launched to support Local Authorities deliver this support. The service aims to prevent or relieve homelessness through saving an existing tenancy or securing new accommodation. It then supports people to sustain that accommodation over time to ensure long term prevention of homelessness.   ",Homelessness,Single people who are homeless or at risk of becoming homeless,,Individual,,,,
Stronger Families Suffolk,,Stronger Families Suffolk,,,Outcomes Based Contract for Children at Risk of Care,GB,,False,False,,False,False,False,False,Implementation,2019-03,2026-01,,2019-03,,,,GBP,1.34,GBPUSD,,,,1751248,1102490.766,,Children and young people on the edge of care or in care,"Whole family-based intervention using Functional Family Therapy. It seeks to improve communication and supportiveness between parents or guardians and young people, while decreasing hostility. The intervention will reduce the number of older adolescents entering, and staying in care. This will be acomplished by:

- Intensive planned (and reactive) work by multi-disciplinary professionals working with the family network;
- trusted and sustained relationships between family and professionals;
- addresing the underlying issues of mental health, substance misuse, gangs, un-boundaried behaviour and acute family stress; and
- wrap-around support including full-time education/training/employment, respite care, positive activities and meeting the needs of adults.
",Child and family welfare, 8-16 years (17 year olds with agreement from Commissioner) at risk of entering care / reunification of children already in care.,,Individual,,,,
"West London Zone, placed-based support for children and young people: scale-up",,"West London Zone, placed-based support for children and young people: scale-up",,,West London Zone,GB,,False,False,,False,False,False,False,Implementation,2019-10,2024-09,,2019-08,2024-07,,,GBP,1.34,GBPUSD,,,,1815000,1525095.316,,Education inequality,"The intervention is based around each child's Individual Support Plan, which has four components; informal engagement, formal engagement, developmental support, and Delivery Partner specialist support. 

WLZ has a broad range of delivery partners all working towards WLZ outcomes, which means they can enable each child to access the right support at the right time. ",Education,All children who participate in WLZ are 'at risk' in multiple areas: Economic Disadvantage (this is prioritised); Emotional wellbeing; English; Maths; School Attendance; and Relationships. 8 out of 10 of all WLZ children are at risk in 3 or more of these areas; 1 in 4 are at risk in 5 or more.,,Individual,,,,
MHEP Enfield,,MHEP Enfield,,,,GB,,False,False,,False,False,False,False,Complete,2020-03,2024-07,,2020-04,2024-04,,,GBP,1.34,GBPUSD,168840,126000,168840,,,,,Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment,Employment and training,People with enduring and severe mental health issues,,Individual,674,,,
MHEP Shropshire,,MHEP Shropshire,,,,GB,,False,False,,False,False,False,False,Complete,2020-03,2024-07,,2020-04,2024-04,,,GBP,1.34,GBPUSD,273360,204000,273360,,,,,Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment,Employment and training,People with enduring and severe mental health issues,,Individual,496,,,
IPS employment support for people with drug and alcohol addictions,,IPS employment support for people with drug and alcohol addictions,,,West London Alliance,GB,,False,False,,False,False,False,False,Complete,2018-08,2022-09,,2019-01,2022-06,,,GBP,1.34,GBPUSD,536000,400000,536000,,,,"Drug and alcohol dependency, unemployment",Individual Placement Support Service to help find and sustain work for adults who have or have had Drug and Alcohol Treatment.,Employment and training,"Supports people aged 16-70 years old with drug and alcohol addictions, who are out of work, to gain and retain competitive employment. All service users will be voluntary and either receiving treatment, in recovery or previous users of the service.",,Individual,1768,Individual,,
Reseau Ecohabitat,,Reseau Ecohabitat,,,,FR,,False,False,,False,False,False,False,Implementation,2020-04,,,2018-01,,,,EUR,1.13,EURUSD,2599000,2300000,2599000,,,,,"The intervention aims to spport very-low-income families living in precarious situations to reahabilitate their house. The intervention program consists in supporting families to find relevant subsidies, to apply for them, and to oversee the works. The provider relies on a big network of volunteer for the charity Secours Catholique. Through the SIB partnership, the provider strengthens its relationship with the public agency ANAH, which mission is to improve the private housing stock, by experimenting what could become a lasting public policy.",Homelessness,"People living in very precarious conditions, in terms of energy efficiency and expenses, and very often in terms of social situation.",,Individual,,,,
MHEP Tower Hamlets Learning Disabilities,,MHEP Tower Hamlets Learning Disabilities,,,,GB,,False,False,,False,False,False,False,Complete,2020-03,2024-08,,2020-07,2023-09,,,GBP,1.34,GBPUSD,439520,328000,439520,,,,,Delivering services using Individual Placement and Support principles to clients with learning disabilities in Tower Hamlets.,Employment and training,People with learning disabilities,,Individual,75,Individual,,
MHEP Tower Hamlets Mental Health,,MHEP Tower Hamlets Mental Health,,,,GB,,False,False,,False,False,False,False,Complete,2020-05,2024-07,,2020-04,2024-04,,,GBP,1.34,GBPUSD,402000,300000,402000,,,,,Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment,Employment and training,People with enduring and severe mental health issues,,Individual,3644,,,
Pyramid Project - Step down from Residential Care Provision,,Pyramid Project - Step down from Residential Care Provision,,,Pyramid Project,GB,,False,False,,False,False,False,False,Implementation,2020-06,2026-01,,2020-04,2026-01,,,GBP,1.34,GBPUSD,1240253.08,925562,1240253.08,,,,,Therapeutic step down foster care,Child and family welfare,Looked after children ,,Individual,,,,
The Skill Mill,,The Skill Mill,,,Skill Mill Young Offenders,GB,,False,False,,False,False,False,False,Implementation,2020-06,2024-09,,2020-08,2024-11,,,GBP,1.34,GBPUSD,1340000,1000000,1340000,,,,"Skill Mill Ltd provides employment opportunities for young ex-offenders, preparing them to long term sustainable employment, reducing re-offending and increasing community safety.","Skill Mill service centres around provision of employment; the young ex-offenders are offered 9 to 5 paid employment four days a week and encouraged to acquire a Level 2 qualification. In addition, participants are supported through mentoring given by both the supervisor on a day to day basis and more in-depth support from a dedicated guidance counsellor.",Criminal justice,High risk ex-offenders aged 16-18,,Individual,,,,
Apprentis d'auteuil - Gironde (France),,Apprentis d'auteuil - Gironde (France),,,,FR,,False,False,,False,False,False,False,Implementation,2019-07,,,2019-07,,,,EUR,1.13,EURUSD,3051000,2700000,3051000,,,,,"The intervention seeks to provide support to families who are living in precarious conditions and thus having difficulties educating their children, putting them at risk of being sent to foster care. The program uses a shelter ta accommodate the families during the intervention and employs a network of 7 volunteers who are tasked with parental guidance services, for anywhere between 3 and 12 months.",Child and family welfare,"Couples or single mothers experiencing social and family-related hardships, such living in unhealthy housing etc., which puts their children at risk of being sent to a foster care center.",,Other,,,,
In their hands,,In their hands,,,,KE,,False,False,,False,False,False,False,Complete,2020-09,,2022-09,2020-09,,2022-03,"The DIB aims to expand availability and uptake of sexual and reproductive health services among adolescents in Kenya. The first tranche of the DIB will last for 18 months and stands for a proof of concept to leverage funds for a second tranche. With both tranches, the DIB will last 5 years.",GBP,1.34,GBPUSD,6700000,5000000,6700000,,,,In Their Hands (ITH) aims to normalize adolescent sexual health and increase uptake of teenagefriendly health services through nudges.,,Health,Adolescent girls (15-19 years old),,Individual,362092,Individual,,
Chances,,Chances,,,,GB,,False,False,,False,False,False,False,Implementation,2020-06,2024-10,,2020-09,2024-08,,,GBP,1.34,GBPUSD,1668300,1245000,1668300,,,,,"The aim of the Chances Programme is to make the most disadvantaged neighbourhoods in the UK healthier, more connected and safer, by providing new opportunities and alternative life pathways for children and young people.",Health,"Children and young people aged between 8-17 with specific issues - low school attendance, recent offenders, looked after children, NEETS, pre-NEETs, and young people with mental health problems.",,Individual,,,,
Gloucestershire Positive Behaviour Support,,Gloucestershire Positive Behaviour Support,,,,GB,,False,False,,False,False,False,False,Implementation,2020-06,2029-06,,2020-10,2029-06,,,GBP,1.34,GBPUSD,201000,150000,201000,,,,,"The interventions identify the function of the challenging behaviour and deliver practical solutions to improve the individual's quality of life, reducing the need for residential placements, with a focus on them remaining at home or other supported homes",Child and family welfare,"The cohort is young people with a learning disability and/or autism and displaying challenging behaviour, who professionals feel is at risk of going into residential care.",,Individual,,,,"Project launch was delayed due to COVID-19, with the project launching in October 2020."
Norfolk Carers Partnership,,Norfolk Carers Partnership,,,Norfolk SIB for Carers,GB,,False,False,,False,False,False,False,Implementation,2020-04,2025-10,,2020-09,2024-10,,,GBP,1.34,GBPUSD,,,,3127228,1636999.008,,,Norfolk Carers Partnership supports adult unpaid carers to improve their wellbeing and enable them to sustain their caring role.,Child and family welfare,,,Individual,,,,
DN2 Children's Services Social Impact Bond,,DN2 Children's Services Social Impact Bond,,,,GB,,True,False,,False,False,False,False,Implementation,2020-09,2026-10,,2020-10,2025-09,,,GBP,1.34,GBPUSD,1185673.54,884831,1185673.54,,,,,"Intensive support to children at risk of care entry or who recently entered care to help them remain with their families where it is safe to do so, and wraparound specialist support to children in care to help them step down to suitable foster placements.",Child and family welfare,Children and Young People aged 10-17 either at risk of entering care or in the care system,,Individual,,,,
Living Learning (Victoria),,Living Learning (Victoria),,,,AU,,False,False,,False,False,False,False,Implementation,,,,2020,,,,,,,,,,,,,The program will provide three years of education and wraparound mental health support to Victorian young people with complex needs.,"Three-year program through MCM's independent school, the Hester Hornbrook Academy which has specialised campuses across Melbourne",Education,Young people (15 to 21 years old) who have become disengaged from school and are living with mental health conditions.,,Individual,,,,
Finland Children's Welfare SIB,,Finland Children's Welfare SIB,,,Lapset - SIB ,FI,,True,False,,False,False,False,False,Implementation,2018-10,,,2019-01,2030-12,,Anticipated end date of service provision varies between municipalities.,EUR,1.13,EURUSD,5650000,5000000,5650000,,,"Outcome Payments vary between municipalities. Considering all the outcome payers, the maximum potential outcome payment ranges between EUR 10 and 12 million.",,,Child and family welfare,Children (the youth) and their families in need of welfare support.,,Individual,,,,Outcome metrics and pricing vary by municipalities. 
Fonciere Chenelet SIB,,Fonciere Chenelet SIB,,,,FR,,True,False,,False,False,False,False,Implementation,2019-05,,,,,,,EUR,1.13,EURUSD,3955000,3500000,3955000,,,,,"The intervention aims to rehabilitate buildings and to turn them into accommodations adapted to persons with reduced mobility and with great energy efficiency, consequently generating low energy expenses for the tenants. The social provider aims to address the housing needs of very-low-income households by creating a low-rent, energy-efficient housing stock in suburban areas, especially targeting older people wanting to stay in their hometown. Through the SIB partnership, the provider strengthens its relationship with the public agency ANAH, which mission is to improve the private housing stock, by experimenting what could become a lasting public policy.",Homelessness,"People living in very precarious conditions, in particular very-low-income seniors.",,Individual,,,,
Finland Children's Welfare SIB II,,Finland Children's Welfare SIB II,,,Lapset SIB II,FI,,True,False,,False,False,False,False,Implementation,2020-12,2031-01,,2021-05,2030-12,,,EUR,1.13,EURUSD,5763000,5100000,5763000,,,The amount of investment corresponds to both Children's Welfare SIB I and Children's Welfare SIB II. Maximum Potential Outcome Payment only corresponds to Children's Welfare SIB II. ,"Youth exclusion and problems in families with small children. The aim is to boost wellbeing and to reduce the costs of corrective services and the need for unemployment benefits. Municipalities need new financing and operating approaches helping them to tackle problems and the purpose of the Lapset SIB II project is to address problems in a proactive manner and at the right time. Successful completion of upper secondary education and finding employment are key to social integration. However, about 15% of all young people finish school without a post-basic education qualification. For young people in substitute care, the figure is as much as 50%. A young person outside education and working life costs society about EUR 18,000/year.","Early stage support for families with children who are in danger of youth exclusion. Main intervention providers include SOS Children's Villages, Helsinki Deaconess Foundation and Nuorten Ystävät. ",Child and family welfare,,,,,,,
Gamezone Lisboa,,Gamezone Lisboa,,,Gamezone  ,PT,,False,False,,False,False,False,False,Implementation,2020-03,,,2020-03,2022-08,,,EUR,1.13,EURUSD,278671.56,246612,278671.56,,,,School failure. Deficit in Portuguese and Mathematics skills,"The Gamezone Lisboa project has as its main objective the mitigation of the deficit in Portuguese and mathematics skills of students with low socioeconomic status. To this end, this project contemplates the development of SPOT Literacy in the Public Space - a pedagogical tool for teachers, materialized in a multimedia game that launches challenges of literacy and numeracy around the cultural heritage of the Municipality.",Education,Students with low socioeconomic status,,Individual,,,,
ransforma O teu potencial,,TOP - Transforma O teu potencial (Transform your potential),Transforma O teu potencial,Transform your potential,,PT,,False,False,,False,False,False,False,Implementation,2020-07,,,2020-09,2022-10,,,EUR,1.13,EURUSD,65454.12,57924,65454.12,,,,Criminal Recidivism,"TOP (Transform Your Potential) is a program aimed at valuing young people who are confined in educational centers, aiming to enhance their social integration after the end of the measure, through an integrated training program and subsequent monitoring. In this project, taking place in 'Centro Educativo de Lisboa', the training should have an important role in reducing the risk of recurrence.",Criminal justice,Young inmates,,Individual,,,,
UBBU: Learn to code,,UBBU: Learn to code,,,,PT,,False,False,,False,False,False,False,Implementation,2019-12,,,2019-12,2023-06,,,EUR,1.13,EURUSD,1159380,1026000,1159380,,,,School failure and digital divide in education,"Training programme in computer science and programming/coding for 1st and 2nd cycles of basic education teachers, to respond to the social problems of digital exclusion, school failure, early dropouts and youth unemployment while addressing the SDGs.",Education,Students,,Individual,,,,
Retour et maintien dans l'emploi des chômeurs longue durée - solidaires pour l'emploi,,Retour et maintien dans l'emploi des chômeurs longue durée - solidaires pour l'emploi,Retour et maintien dans l'emploi des chômeurs longue durée - solidaires pour l'emploi,Return and retention in employment of long-term unemployed - united for employment,,FR,,False,False,,False,False,False,False,Complete,2020-01,,,2020-01,,,,EUR,1.13,EURUSD,519800,460000,519800,,,,Long-term unemployment.,"The project aims to combat unemployment and restore confidence to populations in difficulty, by experimenting with two new areas of action: support towards and with VAE and support throughout the process of taking up a position, to secure entry into employment.",Employment and training,Long-term unemployed people,,Individual,,,,
CREO - Crecemos con empleo y oportunidades,,CREO - Crecemos con empleo y oportunidades (We grow with employment and opportunities),CREO - Crecemos con empleo y oportunidades,We grow with employment and opportunities,,CO,,False,False,,False,False,False,False,Implementation,2021-02,,,2021-04,2022-02,,,COP,0,COPUSD,0,1357000000,0,,,,Unemployment,"The intervention aims to provide services for job placement and retention of vulnerable people in formal jobs, that include mentoring, skills training, labor intermediation services, soft skills development, psychosocial counselling, among others",Employment and training,Unemployed vulnerable individuals,,Individual,,,,
Sociaal Hospitaal Almelo  ,,Sociaal Hospitaal Almelo (Social Hospital Almelo),Sociaal Hospitaal Almelo  ,Social Hospital Almelo,,NL,,False,False,,False,False,False,False,Implementation,,,,2018,2021,,,EUR,1.13,EURUSD,2034000,1800000,2034000,,,,,,Child and family welfare,,,,,,,
Municipality of Haarlem SIB,,Municipality of Haarlem SIB,,,,NL,,True,False,,False,False,False,False,Implementation,,,,2020,2023,,,EUR,1.13,EURUSD,249730,221000,249730,,,,,"The Haarlem Municipality will supply candidates who are suitable to work at MEO. The company trains the new employees in its own workplace, bearing in mind that the candidates can later move on to paid work at other organizations.",Employment and training,,,Individual,,,,
Joining forces SIB,,Joining forces SIB,,,,NL,,True,False,,False,False,False,False,Implementation,,,,2019,2027,,,EUR,1.13,EURUSD,18871000,16700000,18871000,,,,Reintegration in the labour market of incapacitated military personnel of the Dutch Army.,"The intervention is structured through a service programme that will provide placement in jobs and employment training based on the principles of Individual Placement & Support ""first place, then train"", instead of the current pre-employment training.",Employment and training,ex military,,Individual,,,,
Refugees team SIB,,Refugees team SIB,,,,NL,,True,False,,False,False,False,False,Implementation,,,,2019-07,2021-07,,,EUR,1.13,EURUSD,227649.8,201460,227649.8,,,,Refugee integration,Refugee Team helps refugees find jobs by supporting them in their personal and professional development. Refugee Team first uses them as volunteers at sports events which generally have a lack of volunteers. Subsequently Refugee Team matches the volunteers to the business network surrounding the event such as sponsors and suppliers. This helps refugees integrate better and faster.,Employment and training,Refugees,,Individual,,,,
Ctalents SIB,,Ctalents SIB,,,,NL,,True,False,,False,False,False,False,Implementation,,,,2019-07,2021-07,,,EUR,1.13,EURUSD,226000,200000,226000,,,,,Ctalents helps people with sensory challenges to find work. A major percentage of this target group is unemployed while the implementation of coaching and tools would make this unnecessary. Ctalents matches these people with employers and subsequently supervises the new employer and employee in their interactions.,Employment and training,People with sensory disabilities,,Individual,,,,
Sarban de Toekomst,,Sarban de Toekomst (Sarban the Future) SIB,Sarban de Toekomst,Sarban the Future,,NL,,False,False,,False,False,False,False,Implementation,,,,2019-07,2021-07,,,EUR,1.13,EURUSD,226000,200000,226000,,,,Unemployment,Sarban de Toekomst (Sarban the Future) runs various restaurants that provide educational and job positions to refugees with poor job prospects.,Employment and training,Refugees with poor job prospects.,,Individual,,,,
Sticking Together SIB,,Sticking Together SIB,,,,AU,,True,False,,False,False,False,False,Implementation,2018-09,2023-06,2020-06,2019-04,2023-03,2020-06,"End date under SIB is 30/06/2020 - however, services continued under alternate funding arrangement",USD,1,USDUSD,5000000,5000000,5000000,,,,"Young people now make up 26.6% of the people experiencing long-term unemployment, up from 22.6% in 2008. The national youth unemployment rate in Australia has been persistently high for the past 25 years and is often double the adult rate. In July 2018 the national youth unemployment rate was 11.1% compared to the national adult rate of 5.3%. Young people under the age of 25 are typically less experienced and are more exposed to precarious jobs than adults. Casual and seasonal employment is common, providing lower long-term job security and career development opportunities. Some young people experience additional barriers to employment, including mental health issues, lack of stable accommodation, disability and criminal justice system involvement.","The Sticking Together Project is an intensive 60-week coaching program that supports young people to get ready for work and, importantly, develop life skills that enable them to stick with their jobs.",Employment and training,Young people who are unemployed and experiencing multiple barriers to employment,,Individual,,,,
Side by side,,Side by side,,,,AU,,False,False,,False,False,False,False,Implementation,2020-10,2027-03,,2021-01,2025-12,,,USD,1,USDUSD,5000000,5000000,5000000,,,,"A small but significant proportion of school age students in Victoria struggle to connect with and engage at school. On average, educational outcomes for students from socio-economically disadvantaged backgrounds are significantly lower than students from more advantaged backgrounds. Students from disadvantaged backgrounds tend to be more vulnerable on standard Australian Early Childhood Development scores and have lower literacy, numeracy and comprehension levels, and lower school attendance and retention rates. School attendance data in Victorian schools indicates that Aboriginal children are absent from school at a much higher rate than the rest of the student population.","The Side by Side SIB will fund the working capital of the Side by Side Program, an intensive 12-month program designed to improve the engagement and learning outcomes of students in Years 1 to 4. The Program combines student and family therapeutic support in the home, educational case management at school and professional learning and mentoring for teachers delivered through a whole-of-school transformation process.",Education,Vulnerable primary school students with priorty given to Aboriginal and Torres Strait Islander students,,Individual,,,,
Newpin SA Social Impact Bond,,Newpin SA Social Impact Bond,,,,AU,,True,False,,False,False,False,False,Implementation,2020-12,,,2021-07,2026-03,,,USD,1,USDUSD,6500000,6500000,6500000,,,,"There are currently over 4,000 children in South Australia living away from their parents in out-of-home care, highlighting a strong need for investment in reunification services.",The Newpin Program is an 18-month centre-based program that has been designed to strengthen family engagement and has an established track record in ensuring that more children are able to live safely with their parents.,Child and family welfare,Vulnerable children and families in South Australia. Families will have at least one child who is below school age and in out-of-home care.,,Other,,,,
Foyer Central SIB,,Foyer Central SIB,,,,AU,,True,False,,False,False,False,False,Implementation,2020-12,2030-12,,2020-03,2029-09,,,USD,1,USDUSD,7000000,7000000,7000000,,,,Supporting young people who are at risk of or experiencing homelessness to lead fulfilling lives and transition to independence,"Foyer Central is an integrated learning and accommodation centre that will support young people who have been in of out-of-home care on the path to independence. The Program will build their capacity to access resources and opportunities, connect with education, training and employment, and make positive decisions.",Homelessness,Young people who have left out-of-home care and are at risk of or experiencing homelessness,,Individual,,,,
IOD - Interventions sur les Offres et les Demandes  ,,IOD - Interventions sur les Offres et les Demandes (Intervention on supply and demand),IOD - Interventions sur les Offres et les Demandes  ,Intervention on supply and demand,,BE,,False,False,,False,False,False,False,Implementation,2018,2023-02,,2018-04,,,,EUR,1.13,EURUSD,2486000,2200000,2486000,,,"The return of the investors is determined by the results achieved, in particular the re-employment rate of the participants:
If the results are lower than those of the control group, the investors lose the entire amount invested.
If the re-employment rate is between 1% and 50% higher than in the control group, the investors will be reimbursed their sum, without premium.
If the results are between 50% and 100% higher than those of the control group, the investors receive a premium on top of their investment. This progressive premium is capped at 7.5%.","Long-term unemployment can have disastrous effects on people and for society as a whole. The longer people are out of work, the more their skills and social networks tend to erode. This sends them into a downward spiral that makes it ever harder to find a new job.","The IOD ('Intervention sur les Offres et les Demandes' in French) is an original method to help the employment of target groups that are very far removed from the labor market to find work. For long-term job seekers and the low-skilled, a resume can be a major hurdle. A resume with holes or with a sloppy layout is quickly put to the side. In other cases, the name that appears at the top of the resume takes care of that. While none of these things have to mean that the job seeker would not be competent. With the IOD method, the CV is omitted and the focus is only on the needs of the employer. The employer no longer chooses on the basis of CVs: it is the jobseeker who chooses his job and position based on the job offers – at least three – that are offered to him or her. The roles are thus reversed, which not only avoids discrimination in recruitment, but also involves the job seeker – who is no longer called a job seeker, but ""professional"" – more in the process.",Employment and training,Job seekers with a low level of education or job seekers who have been unemployed for more than 2 years.,,Individual,,,,
The Refugee Impact Bond,,The Refugee Impact Bond,,,,JO,,False,False,Refugee Impact Bond,False,False,False,False,Implementation,2021-09,2025-10,,2022-01,2025-03,,,USD,1,USDUSD,9825000,9825000,9825000,,,,"The Syrian conflict has displaced more than 11 million people. 6 million refugees have settled in five neighbouring countries, including Lebanon and Jordan. 85% of Syrian refugees across the region live in urban areas and 6 in 10 refugees live in extreme poverty. Women and young people are the most vulnerable. This first-of-its-kind ""Refugee Impact Bond"" aims to significantly contribute to closing the funding gap and addressing the need for more inclusive and sustainable approaches to the economic empowerment of refugees through (i) the funding of a programme that focuses on durable results ; addresses the specific needs of vulnerable women and youth ; Includes host communities; (ii) A financing mechanism – the DIB – that empowers the delivery partner with multi-year funding and the flexibility to adapt programming with a sole focus on outcomes (rather than activities); (iii)The generation of independently verified and robust evidence and the sharing of the learnings. ","The Refugee Impact Bond funds the Near East Foundation UK to deliver a vocational, entrepreneurship, and resilience-building programme for refugees and vulnerable members of their host communities in Jordan.",Employment and training,Jordanians and refugees,,Individual,,,,
Creating conditions for low-income families with children to overcome a difficult life situation - Russia,,Creating conditions for low-income families with children to overcome a difficult life situation - Russia,,,,RU,,False,False,,False,False,False,False,Implementation,2020-12,2022-01,2022-01,2021-02,2022-01,2022-01,"In this case, the main parameters of the contract, such as social effects, outcome metrics, target beneficiares, start and end date of service provision, investment and outcome payments were set in the regional government legal act (source2), which is considered as an outcomes contract. After the signing of the regional legal act, all other contracts  are signed between the project participants.",RUB,0.01,RUBUSD,,,,,126457,The price of the project was the result of negotiations of all parties and pricing was based on the approximate costs of provision of services. The success of the project will be recognized provided that at least 90% of the target level is achieved for each of the indicators. Payment upon reaching part of the effect is not provided.,"In Primorsky Krai - Russian Region located on the Far East of the country - part of the population lives in remote areas with low availability of social infrastructure. This ""social contract"" is an instrument, which allows low-income families to overcome a difficult life situation. It was developed by the social authorities taking into account each family condition. The project aims to accelerate the conclusion of social contracts by families with children in remote areas to improve their quality of life.","Russian Post, the national postal operator of Russia, has a large chain of post offices, which are located even in the smallest settlements and are trusted by local residents. Using the resource, Russian postmen perform the following activities: 
- informs low-income families with children, living in the pilot territories, about the possibilities of a social contract;
- provides targeted consultation for families before and after the conclusion of social contract;
- conduct a survey of families with children in the pilot territories on the socio-economic situation, which will additionally identify families for registration with the social protection authorities of the region, with the opportunity to join a social contract.",Poverty reduction,"Low-income families with children, living in remote areas of Primorskiy Krai (5 municipalities)",,Other,,,,
