name,jurisdiction,description,website,type___value
International Bank for Reconstruction and Development,US,"The International Bank for Reconstruction and Development (IDBR) is an international financial institution, established in 1944 and headquartered in Washington, D.C., United States, that is the lending arm of World Bank Group. The IBRD offers loans to middle-income developing countries.",,"Multilateral, bilateral or intergovernmental body"
Credit Suisse,,,,
Citibank,,,,
Conservation Alpha,,,,
Zoological Society of London,,,,
"67 local companies and 181 local shops in Okayama, Japan",,,,
Manitoba Government,,,,
"Selected list of pharmacies in Manitoba, Canada",,,,
Nuveen,,,,
CAIXA GERAL DE DEPOSITOS S.A.,,,,
"A2D CONSULTING, LDA",,,,
"AFTERBURNER, LDA",,,,
ACESSÍVEL ÊXITO - ASSOCIAÇÃO,,,,
"Ministry for Science, Technology and Higher Education - Portugal",,,,
Directorate-General for Education (DGE),,,,
Green Cape - South Africa,,,,
Manchester Metropolitan University,,,,
ITAD,,,,
Wu Jieh Yee Charitable Foundation,,,,
Lee Hysan Foundation,,,,
Oxfam Hong Kong (OHK),,,,
Faculty of Education of the University of Hong Kong,,,,
Centre for Child and Family Science of the Education University of Hong Kong,,,,
Social Innovation and Entrepreneurship Development Fund (SIE),,,,
The Office of Social Impact Investment - New South Wales Treasury,,,,
Sagana,,,,
Ikast-Brande Municipality,,,,
Memox,,,,
Vejle Municipality,,,,
Roskilde Municipalit,,,,
Aarhus Municipality,,,,
Den Sociale Investeringsfond (The Danish Social Investment Fund),,,,
Steno Diabetes Center,,,,
Fonden Mental Sundhed (Mental Health Foundation),,,,
Rudersdal Municipality,,,,
Dialog Mod Vold (Dialogue against Violence),,,,
Tuba Danmark,,,,
Brøndby Municipality (Brondby Municipality),,,,
Lær for Livet Fond (Learn for life),,,,
Home Office - United Kingdom,,,,
The Other Perspective,,,,
World Jewish Relief,,,,
Open Door North East,,,,
Northeast Refugee Service,,,,
Odils Learning Foundation,,,,
Plymouth Hope,,,,
Start - Students and Refugees Together,,,,
Anglicare Victoria - Australia,AU,,https://www.anglicarevic.org.au/,
VincentCare Victoria - Australia,AU,,https://vincentcare.org.au/,
Various Investors,,,,
Compass Leaving Care Limited,,,,
Thames Talbot Land Trust - Canada,CA,,https://www.thamestalbotlandtrust.ca/,
Lower Thames Valley Conservation Authority - Canada,CA,,https://www.lowerthames-conservation.on.ca/,
Alternative Land Use Services (ALUS) Canada,CA,,https://alus.ca/,
Camp Kee-Mo-Kee,CA,,https://www.keemokee.com/,
ReForest London,CA,,https://www.reforestlondon.ca/,
City of London - Canada,CA,,https://london.ca/,Government body
The Living Centre - Canada,CA,,https://www.thelivingcentre.com/,
Carolinian Canada,CA,,https://caroliniancanada.ca/,"Registered non-profit organisation, charity or foundation"
VERGE Capital,CA,,https://vergecapital.ca/,
Environment and Climate Change Canada,CA,"Environment and Climate Change Canada is the department of the Government of Canada responsible for coordinating environmental policies and programs, as well as preserving and enhancing the natural environment and renewable resources. It is also colloquially known by its former name, Environment Canada.",https://www.canada.ca/en/environment-climate-change.html,Government body
Pollinator Partnership,CA,,https://pollinatorpartnership.ca/,"Registered non-profit organisation, charity or foundation"
3M Canada,CA,,https://www.3mcanada.ca/3M/en_CA/company-ca/,"Registered company, partnership or commercial association"
Rådet for Sociale Investeringer (The Council for Social Investments),,,,
Lauritzen Fonden (Lauritzen Fund),,,,
EducAid,,,,
Rising Academy Network,,,,
National Youth Association Forum (NYAF),,,,
Street Child,,,,
Rockdale Foundation,,,,
Government of Sierra Leone,,,,
Reh-Fit Centre,,,,
Winnipeg Regional Health Authority,,,,
Victoria Hospital Foundation,,,,
Wiijii'idiwag Ikwewag,,,,
Southern First Nations Network of Care (SFNNC),,,,
Winnipeg Foundation,,,,
C.P. Loewen Family Foundation,,,,
Lawson Foundation,,,,
Inspirit Foundation,,,,
Children's Aid Foundation of Canada,,,,
Educational Initiatives,,,,
The Larry Ellison Foundation,,,,
De Zorggroep,,,,
Korea International Cooperation Agency (KOICA),KR,The Korea International Cooperation Agency (KOICA) was established in 1991 by the Ministry of Foreign Affairs of South Korea as a governmental organization for Official Development Assistance (ODA) to enhance the effectiveness of South Korea's grant aid programs for developing countries by implementing the government's grant aid and technical cooperation programs.,http://www.koica.go.kr/,Government body
Bank of America,US,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered at the Bank of America Corporate Center in Charlotte, North Carolina.",https://www.bankofamerica.com/,"Registered company, partnership or commercial association"
Hempel Foundation,DK,"The Hempel Foundation is a dedicated philanthropist. We strive to make a difference by empowering children to learn, making coating more efficient and sustainable, sustaining biodiversity and realising great initiatives that bring about positive change",https://www.hempelfonden.dk/,"Registered non-profit organisation, charity or foundation"
Oneplanetcrowd (crowdfunding platform),NL,,https://www.oneplanetcrowd.com/en,Crowdfunding
Municipality of Horst aan de Maas,,,,
Municipality of Beesel,,,,
Municipality of Peel en Mass,,,,
Municipality of Bergen,,,,
Municipality of Gennep,,,,
Municipality of Venray,,,,
"Ministry of Justice, Japan",,,,
Mistui Sumitomo Banking Corporation,,,,
Campfire Social Capital Inc,,,,
"Kumon Co., Ltd",,,,
"Kizuki Co.,Ltd",,,,
Mofumofu Net,,,,
Public Education & Business Coalition,US,Denver-based national education nonprofit,https://www.pebc.org/,"Registered non-profit organisation, charity or foundation"
Aurora Public Schools,US,"The public school system in Aurora, Colorado, United States. There are 65 schools in the district.",https://aurorak12.org/,Collective
Durango 9-R school district,US,"Durango School District 9-R serves preK-12th grade students and is located in Durango, Colorado.",https://www.durangoschools.org/,Collective
Colorado Department of Education,,,,
Genesis Youth Trust - New Zealand,,,,
Oranga Tamariki - Ministry for Children - New Zealand,NZ,,https://www.orangatamariki.govt.nz/,Government body
NZ Super Fund,,,,
Mint Asset Management,,,,
Caleb Trust,,,,
G Fund Limited,,,,
Middlesborough Borough Council,GB,,,Government body
Stockton Borough Council,GB,,,Government body
Redcar & Cleveland Borough Council,GB,,,Government body
Hartlepool Borough Council,GB,,,Government body
Northumberland County Council,,,,
North Tyneside Borough Council,GB,,,Government body
Teesside Police & Crime Commissioner,,,,
Oxford City Council,,,,
Southampton City Council,GB,,https://www.southampton.gov.uk/,Government body
APOPO (main provider),,,https://apopo.org/?v=79cba1185463,
Cordaid,,,,
Hawk Rock Foundation,,,,
Blue Parasol,,,,
FJC – A Foundation of Philanthropic Funds,,,,
Aptus,,,,
Astoreca Foundation,,,,
Barnechea Foundation,,,,
Puente Alto Municipality,,,,
Falabella Retail SA,,,,
Olivo Foundation,,,,
Angelini Foundation,,,,
Ermita de San Antonio Association,,,,
Bien Público Association,,,,
Presente Foundation,,,,
Regional Metropolitan Government of Santiago de Chile,,,,
Reinaldo Solari M. Foundation,,,,
Emprépolis Foundation,,,,
Huella Gestión Social Foundation,,,,
"Ilumina, acompañando tu despertar - Foundation",,,,
Purple Compass,,,,
NACOSA,,,,
Khethimpilo,,,,
Future Families,,,,
National Treasury - South Africa,ZA,,,Government body
Department of Science and Innovation - South Africa,ZA,,,Government body
Rand Merchant Bank,,,,
Innovation Guru,,,,
South African Medical Research Council,,,,
YMCA Canada,,,,
National Department of Health - South Africa,,,,
CESAR Africa,,,,
Marie Curie,,,,
Somerset ICB (Integrated Care Board),,,,
Bradford Hospital Trust,,,,
Macmillan Cancer Support,,,,
Wecyclers,,,,
Société Générale (Societe Generale),,,,
Unilever Nigeria (West Africa),,,,
Catch-22,,,,
Healthy Living Partnership,,,,
Worcestershire Association of Carers,,,,
Simply Limitless Wellbeing Charity,,,,
ONSIDE Advocacy,,,,
Barts Health NHS Trust,,,,
Carers Trust Hillingdon,,,,
Your Life Line: Hillingdon,,,,
NHS Bradford City Clinical Commissioning Group,,,,
"NHS Airedale, Wharefedale and Craven Clinical Commissioning Group",,,,
North East Lincolnshire Integrated Care Board,,,,
St John's Hospital Trust,,,,
Kenya Health Outcomes Partnership Limited,,,,
United Nations Population Fund (UNFPA),,,,
World Health Organisation (WHO),,,,
Joint United Nations Programme on HIV/AIDS (UNAIDS),,,,
The UN Resident Coordinator's Office in Kenya,,,,
The UN SDG Partnership Platform,,,,
Lewisham and Greenwich NHS Trust,,,,
One Health Lewisham,,,,
Kings College Hospital NHS Foundation Trust,,,,
Lambeth Healthcare,,,,
Guy's and St Thomas' NHS Foundation Trust,,,,
The NAZ Project,,,,
Improving Health Ltd,,,,
Quay Health Services,,,,
African Advocacy Foundation,,,,
Aymara Social Enterprises,,,,
METRO Charity,,,,
Remploy,,,,
Hillside Clubhouse,,,,
British International Investment (BII),,,,
Enocta,,,,
Istanbul Regional Development Agency,,,,
Employment Outcomes NPC,SA,,https://www.krutham.com/press-releases/jobs-boost-outcomes-fund-launched-r300-million-allocated-to-youth-training-that-results-in-jobs/,"Registered non-profit organisation, charity or foundation"
South West London Integrated Care Board,,,,
Epsom and St Helier University Hospitals NHS Trust,,,,
North Central London Integrated Care Board,,,,
London Borough of Barking and Dagenham,,,,
London Borough of Kingston,,,,
London Borough of Richmond upon Thames,,,,
Tanfees Ltd,,,,
The Abu Dhabi Early Childhood Authority,,,,
Al Dar Properties,,,,
Authority of Social Contribution (Ma'an),,,,
SundInvest Aps,,,,
Empano,,,,
Falck Quick Care,,,,
Slagelse Municipality,,,,
Holbæk Municipality,,,,
Viborg Municipality,,,,
Boligselskabet Sct. Jørgen (The Housing Association Sct. Jørgen),,,,
BoligViborg (HousingViborg),,,,
Landsbyggefonden (The National Building Fund),,,,
Joep Lange Institute,,,,
PharmAccess Foundation,,,,
Global Loan Agency Services (GLAS),,,,
Centre Pasteur du Cameroun,,,,
Laboratoire de Recherche sur les Hépatites virales et la Communication en Santé,,,,
Agence Nationale de Recherche sur le Sida (ANRS),,,,
Achmea Foundation,NL,,https://www.achmea.nl/en/,"Registered non-profit organisation, charity or foundation"
Hosanna Charitable Trust Board,,,,
G-OP Ltd,,,,
Plymouth Household Fund,,,,
Toronto Foundation,,,,
Counselling Foundation,,,,
Impact Canada,,,,
Ministry of Public Safety and Emergency Preparedness - Canada,,,,
Robert Kerr Foundation,,,,
Erste Social Finance Holding,AT,,,
Atempo,,,,
"Austrian Federal Ministry of Social Affairs, Health, Care and Consumer Protection",AT,,,Government body
Bevington Primary Art Brunel Academy,,,,
Aldridge Academy,,,,
Ernst & Young,,,,
Caliaco,,,,
42nd Street,,,,
Early Break,,,,
AKT,,,,
Centre 4,,,,
Humber and North Yorkshire Integrated Care Board,,,,
Peepul,,,,
Language and Learning Foundation (LLF),,,,
Atlassian Foundation,,,,
Maitri Trust,,,,
Reliance Foundation,,,,
Standard Chartered Bank (SCB) Foundation,,,,
Central Square Foundation,,,https://www.centralsquarefoundation.org/,
iSEA,,,,
Great Yarmouth District Council,,,,
Evolve,,,,
The Benjamin Foundation,,,,
Youthbuild Mexico,,,,
Government of Nuevo León,,,,
Catholic Relief Services-USCCB,,,,
Alberro & Asociados,,,,
Anima - Uruguay,,,,
The Ministry of Social Development of Uruguay (MIDES),,,,
The Ministry of Education and Culture of Uruguay (MEC),,,,
The National Institute for Employment and Professional Training (INEFOP),,,,
The Bank of the Oriental Republic of Uruguay (BROU),,,,
Scotiabank,,,,
Santander Bank - Uruguay,,,,
Itau Bank - Uruguay,,,,
Reaching U Foundation,,,,
United Nations Development Programme (UNDP),,,,
Grant Thornton,,,,
Sycomore Impact Emploi,,,,
Generali Investissement à Impact,,,,
Degroof Petercam Foundation (Fondation Degroof Petercam),,,,
Citizing,,,,
Alethina Impact,TR,,,
Etkiyap,TR,,,
Federal Finance Gestion,,,,
Wake up Café,,,,
Innov8 Investments,,,,
EBS Energie,,,,
Twoo,,,,
Crédit Agricole Martinique Guyane,,,,
Malakoff Humanis,,,,
Sycomore Impact Emploi,,,,
Comme Les Autres,,,,
Mozaïk,,,,
Marché d'Intérêt National (National Interest Market),,,,
Métropole de Rouen Normandie (Rouen Normandy Metropolis),,,,
DRAAF Normandie,,,,
"Departmental Directorate of Employment, Labor and Solidarity (DDETS)",,,,
Ferrero France,,,,
Carniato,,,,
Peters Foundation,,,,
Socaps Fund,,,,
National Association for the Development of Solidarity Grocery Stores (ANDES),,,,
Réemprod,,,,
Fidal,,,,
Léo Lagrange Federation,,,,
IDES Investissement,,,,
InvEss Ile de France,,,,
Avelana,,,,
La Banque des Territoires (Bank of the Territories),,,,
Envie Autonomie,,,,
Label Vie,,,,
Legatum,,,,
Tsao Family Office,,,,
Waterloo Foundation,,,,
At the bus,,,,
The Bike Guys,,,,
Child Counselling,,,,
Coachbright,,,,
Eastside Educational Trust,,,,
Flourished Minds,,,,
Future Men,,,,
In your corner,,,,
Jamie's Farm,,,,
Kit Theatre,,,,
Kite Studios,,,,
Leap,,,,
Nourish Hub,,,,
Oasis Farm,,,,
Rugby Portobello Trust,,,,
Tie-Dye Drama,,,,
Number Champions,,,,
Tutors Green,,,,
Unlocking potential,,,,
Urbanwise London,,,,
Abeille Impact Investing France,,,,
SHAM Relyens,,,,
Ekodev,,,,
Assistance Publique et Hôpitaux de Marseille,,,,
Aix Marseille Université,,,,
Korea Productivity Center,,,,
Percent,,,,
SVS Fund,,,,
Community Chest of Korea,,,,
KB Insurance,,,,
The Great,,,,
EFE - Palestine,,,,
PEA - Palestine,,,,
Juzoor - Palestine,,,,
BZU/CCE - Palestine,,,,
Juhoud - Palestine,,,,
PCIU - Palestine,,,,
Palvision - Palestine,,,,
PITA - Palestine,,,,
Buyeo County,,,,
Mindcog,,,,
Happy Connect,,,,
Cha University Industry Academic Cooperation Foundation,,,,
SK Happiness Foundation,,,,
Hwaseong City,,,,
Iksundada Group,,,,
Teamblind,,,,
Clify,,,,
SK m&service,,,,
IMM Investment Management,,,,
Bogo Fund Asset Management,,,,
